speed_Mbps,price_NTD
0.1,2.7276234567901237e-06
0.15,4.500578703703704e-06
0.5,1.3638117283950617e-05
1.0,2.454861111111111e-05
1.5,4.5005787037037044e-05
0.1,1.0619259259259261e-05
0.15,1.592888888888889e-05
0.5,6.637037037037038e-05
1.0,0.00010619259259259261
1.5,0.00015928888888888892
0.1,4.675925925925927e-06
0.15,7.01388888888889e-06
0.5,2.3379629629629634e-05
1.0,4.675925925925927e-05
1.5,7.01388888888889e-05
0.1,5.309629629629631e-06
0.15,7.964444444444445e-06
0.5,2.6548148148148152e-05
1.0,5.3096296296296303e-05
1.5,7.964444444444446e-05
0.1,3.318518518518519e-06
0.15,5.600000000000001e-06
0.5,1.866666666666667e-05
1.0,3.733333333333334e-05
1.5,6.222222222222223e-05
0.1,2.8055555555555555e-06
0.15,4.2083333333333326e-06
0.5,1.4027777777777777e-05
1.0,2.8055555555555554e-05
1.5,4.208333333333333e-05
0.1,2.4548611111111113e-06
0.15,3.2731481481481484e-06
0.5,1.2274305555555555e-05
1.0,3.000385802469136e-05
1.5,3.6822916666666666e-05
0.1,7.964444444444445e-06
0.15,7.964444444444445e-06
0.5,3.9822222222222224e-05
1.0,7.964444444444445e-05
1.5,0.00011946666666666668
0.1,5.309629629629631e-06
0.15,7.964444444444445e-06
0.5,2.6548148148148152e-05
1.0,5.3096296296296303e-05
1.5,7.964444444444446e-05
0.1,7.0795061728395076e-06
0.15,1.0619259259259261e-05
0.5,3.539753086419754e-05
1.0,7.079506172839508e-05
1.5,0.00013274074074074075
0.1,1.3274074074074076e-05
0.15,2.1902222222222226e-05
0.5,5.973333333333334e-05
1.0,0.00014601481481481485
1.5,0.00021902222222222226
0.1,4.424691358024692e-06
0.15,6.637037037037039e-06
0.5,2.2123456790123462e-05
1.0,4.977777777777779e-05
1.5,8.296296296296299e-05
0.1,6.637037037037038e-06
0.15,8.96e-06
0.5,3.318518518518519e-05
1.0,6.637037037037038e-05
1.5,9.955555555555556e-05
0.1,6.637037037037038e-06
0.15,1.0951111111111113e-05
0.5,3.318518518518519e-05
1.0,6.637037037037038e-05
1.5,9.955555555555556e-05
0.1,3.621925925925927e-05
0.15,5.43288888888889e-05
0.5,0.00018109629629629634
1.0,0.0003621925925925927
1.5,0.000543288888888889
0.1,3.88888888888889e-06
0.15,7.291666666666667e-06
0.5,2.4305555555555558e-05
1.0,4.8611111111111115e-05
1.5,7.291666666666667e-05
0.1,8.750000000000001e-06
0.15,1.4583333333333333e-05
0.5,4.3750000000000006e-05
1.0,9.722222222222223e-05
1.5,0.00013125000000000002
0.1,1.7208333333333333e-05
0.15,2.58125e-05
0.5,7.648148148148148e-05
1.0,0.00017208333333333333
1.5,0.00022944444444444444
0.1,2.82962962962963e-05
0.15,4.2444444444444445e-05
0.5,0.0001414814814814815
1.0,0.000282962962962963
1.5,0.0004244444444444445
0.1,2.0764444444444446e-05
0.15,3.460740740740741e-05
0.5,0.00011535802469135802
1.0,0.00023071604938271605
1.5,0.00034607407407407406
